u,v,highway,oneway,length,bridge,tunnel,avg_height,avg_slope,lanes,width,up_lanes,down_lanes,surface
353195076,4580235124,residential,0,13.065384585674405,0,0,30.60000038,9.688340626334789,2,2.0,1,1,asphalt
353195076,3819769237,residential,0,83.96279761962309,0,0,30.10000038,5.090454909642867,2,2.0,1,1,asphalt
353195076,3819769254,residential,0,54.97781691147617,0,0,30.60000038,9.688340626334789,2,2.0,1,1,asphalt
353195076,3819769325,residential,0,66.42509739506606,0,0,38.44999981,5.342327829686199,3,2.5,2,1,asphalt
353195079,3819769514,residential,0,51.21948669131018,0,0,34.20999908,0.5556644871641436,2,2.0,1,1,asphalt
353195079,4580235126,residential,0,147.56704158875,0,0,34.85499954,0.905165890137036,2,2.0,1,1,dirt
353195079,3819769438,residential,0,75.6073270762012,0,0,34.20999908,0.5556644871641436,2,2.0,1,1,asphalt
353195149,10682086096,residential,0,68.25509937075108,0,0,37.20000076,1.254667293109928,5,4.0,3,2,dirt
353195149,4580238966,residential,0,47.23832105872225,0,0,37.20000076,1.254667293109928,2,2.0,1,1,asphalt
353195149,4580238967,residential,0,92.97742407047522,0,0,38.300001145,1.1259498313228975,2,2.0,1,1,asphalt
353195149,4580235126,residential,0,83.78794632432228,0,0,36.35000038,1.254667293109928,2,2.0,1,1,dirt
353195249,4580205470,residential,0,33.78394584189756,0,0,28.92000008,0.0141113741633061,2,2.0,1,1,asphalt
353195249,3819769182,residential,0,131.0877757688012,0,0,29.010000230000003,0.2533402835571255,2,2.0,1,1,asphalt
353195249,3819769163,secondary,0,91.8524214810656,0,0,29.260000230000003,0.2503452622901085,2,2.0,1,1,asphalt
353195249,436849310,secondary,0,38.08397527785979,0,0,28.92000008,0.0141113741633061,2,2.0,1,1,asphalt
356265537,356265595,residential,0,57.804247482158246,0,0,39.5,2.530139084905277,2,2.0,1,1,asphalt
356265537,3823587243,residential,0,39.05136344430922,0,0,43.5,5.243147066996194,2,2.0,1,1,asphalt
356265537,356265539,residential,0,128.7757475956544,0,0,40.35000038,2.756721777231511,2,2.0,1,1,asphalt
356265539,356265537,residential,0,128.7757475956544,0,0,40.35000038,2.756721777231511,2,2.0,1,1,asphalt
356265539,356265541,residential,0,63.55262998455723,0,0,41.20000076,2.983304469557745,2,2.0,1,1,asphalt
356265539,1000121012,residential,0,79.9821776783129,0,0,41.20000076,2.983304469557745,2,2.0,1,1,asphalt
356265541,3824954608,residential,0,28.92994048973632,0,0,46.550001145,4.29506718616474,2,2.0,1,1,asphalt
356265541,3824954614,residential,0,109.24395981368605,0,0,46.550001145,4.29506718616474,2,2.0,1,1,paving_stones
356265541,356265539,residential,0,63.55262998455723,0,0,41.20000076,2.983304469557745,2,2.0,1,1,asphalt
356265545,3824954614,residential,0,61.867965184641534,0,0,51.90000153,5.606829902771736,2,2.0,1,1,asphalt
356265595,436862401,residential,0,34.782739608742894,0,0,39.5,2.530139084905277,2,2.0,1,1,asphalt
356265595,1000121012,residential,0,197.78092617284327,0,0,40.35000038,2.756721777231511,2,2.0,1,1,asphalt
356265595,356265537,residential,0,57.804247482158246,0,0,39.5,2.530139084905277,2,2.0,1,1,asphalt
356265775,3819769955,residential,0,10.406824952366138,0,0,37.09999847,8.849719975515466,2,2.0,1,1,asphalt
356265778,3819770001,residential,0,29.919253785845672,0,0,39.29999924,2.30135534361819,2,2.0,1,1,asphalt
356265778,3819769956,residential,0,62.82485200669658,0,0,34.319999695,1.6776062108374763,2,2.0,1,1,asphalt
356265778,3819769955,residential,0,77.46255051611469,0,0,38.199998855,5.5755376595668285,2,2.0,1,1,asphalt
356265778,3819770025,residential,0,54.12857334243883,0,0,39.29999924,2.30135534361819,2,2.0,1,1,asphalt
356265790,8479080812,residential,0,5.705921037779574,0,0,29.34000015,1.053857078056763,2,2.0,1,1,asphalt
356265790,3819769956,residential,0,23.397454402401504,0,0,29.34000015,1.053857078056763,2,2.0,1,1,asphalt
356265790,3819769908,residential,0,76.77724295386781,0,0,33.219999310000006,4.951788526786115,2,2.0,1,1,asphalt
356265929,3819769997,residential,0,108.74972685082174,0,0,28.340000155,0.0401351359929758,4,3.0,2,2,asphalt
356265929,3819770031,residential,0,27.87544020709464,0,0,28.90999985,0.0549937187806669,4,3.0,2,2,asphalt
356265929,3819770045,residential,0,16.298645334993843,0,0,28.90999985,0.0549937187806669,4,3.0,2,2,asphalt
356266006,437007224,residential,0,90.43834814639268,0,0,46.20000076,0.4280717427229274,2,2.0,1,1,asphalt
357938663,1778603974,residential,0,170.2252195158118,0,0,62.360000615,9.41996790982349,2,2.0,1,1,asphalt
414683392,3811554590,primary,0,190.9127222980832,0,0,17.43999958,0.1960426916823119,6,4.0,3,3,asphalt
414683392,3822999249,primary,0,98.39019409314476,0,0,15.559999465,1.7766614373039933,4,3.0,2,2,asphalt
414683392,3811554546,secondary,1,82.35687022048853,0,0,17.630000115,0.3541680750326799,1,4.0,1,0,asphalt
414683392,3891198185,primary,0,95.3201224946706,0,0,17.274999615,0.4146455556577662,6,4.0,3,3,asphalt
414683392,4584756068,secondary,0,92.32521434493816,0,0,17.759999275,0.354325827728837,6,4.0,3,3,asphalt
414683404,4584756059,secondary,0,81.13728052324143,0,0,18.954999925,0.2148341919347712,6,4.0,3,3,asphalt
414683404,3819767939,primary,0,41.988266584953806,0,0,19.02000046,0.0889731303641208,4,3.0,2,2,asphalt
414683404,3819767980,secondary,0,81.36269999677563,0,0,18.76000023,0.0840086758703177,6,4.0,3,3,asphalt
414683404,3819768014,primary,0,66.79194888146117,0,0,19.02000046,0.0889731303641208,6,4.0,3,3,asphalt
414686051,3811441429,tertiary,1,127.32374177213356,0,0,14.235000135,0.2598244579148673,1,1.0,1,0,asphalt
414686051,8474088616,secondary,0,32.17193978143777,0,0,14.43000031,0.3015114715105733,5,4.0,3,2,asphalt
414686051,8474080313,secondary,0,40.09486510858552,0,0,14.43000031,0.3015114715105733,1,1.0,1,0,asphalt
414686051,3811066895,secondary,0,27.931514975901493,0,0,14.43000031,0.3015114715105733,4,3.0,2,2,asphalt
414686051,8474088613,secondary,0,24.47591699777641,0,0,14.43000031,0.3015114715105733,5,4.0,3,2,asphalt
414686089,3823348819,secondary,0,65.00279209521206,0,0,29.859999655000003,2.965503989906875,4,3.0,2,2,asphalt
414686089,8499543698,secondary,0,44.47382548376064,0,0,26.62999916,4.569273265325021,4,3.0,2,2,asphalt
414686089,3823348859,secondary,0,56.467814511173934,0,0,24.429999350000003,2.5098484961513257,2,2.0,1,1,asphalt
